clause_id,regulation_text,human_label,llm_prediction,ambiguity_terms,ambiguity_type,correct
REG031,Students absent for more than 3 consecutive days must submit a leave application.,non_ambiguous,non_ambiguous,none,none,true
REG032,Prolonged absences require appropriate justification and supporting documentation.,ambiguous,ambiguous,appropriate,subjective,true
REG033,Examination answer scripts will be preserved for 6 months after result declaration.,non_ambiguous,non_ambiguous,none,none,true
REG034,Answer scripts may be retained longer if there are pending disputes or appeals.,ambiguous,ambiguous,"may, pending disputes","context-dependent, permissive",true
REG035,Students must register for courses within the first week of the semester.,non_ambiguous,non_ambiguous,none,none,true
REG036,Late course registration may be permitted for valid reasons with departmental approval.,ambiguous,ambiguous,"may, valid, valid reasons, permitted","subjective, context-dependent, permissive",true
REG037,Library books must be returned within 14 days of issue.,non_ambiguous,non_ambiguous,none,none,true
REG038,Overdue fines may be waived in exceptional cases at the librarian's discretion.,ambiguous,ambiguous,"may, waived, discretion",permissive,true
REG039,Students must complete at least 120 credits to graduate.,non_ambiguous,non_ambiguous,none,none,true
REG040,Credit transfer from other institutions may be approved if the courses are substantially similar.,ambiguous,ambiguous,"may, approved",permissive,true
REG041,Semester examinations will be conducted in the months of May and December.,non_ambiguous,ambiguous,May,permissive,false
REG042,Examination dates may be adjusted if there are unforeseen circumstances.,ambiguous,ambiguous,"may, unforeseen circumstances","context-dependent, permissive",true
REG043,Students must score at least 50% in internal assessments to be eligible for final exams.,non_ambiguous,non_ambiguous,none,none,true
REG044,Internal assessment marks may be moderated if the overall class performance is poor.,ambiguous,ambiguous,"may, poor","subjective, permissive",true
REG045,Hostel residents must vacate rooms within 3 days of semester end.,non_ambiguous,non_ambiguous,none,none,true
REG046,Room vacation deadlines may be extended for students with compelling reasons.,ambiguous,ambiguous,"may, compelling reasons","context-dependent, permissive",true
REG047,Students must attend at least 75% of laboratory sessions separately from theory classes.,non_ambiguous,non_ambiguous,none,none,true
REG048,Lab attendance requirements may be relaxed for students engaged in significant research activities.,ambiguous,ambiguous,"may, significant","subjective, permissive",true
REG049,Scholarship recipients must maintain a minimum CGPA of 7.5.,non_ambiguous,non_ambiguous,none,none,true
REG050,Scholarship continuation may be reviewed if the student's academic performance declines.,ambiguous,ambiguous,"may, reviewed",permissive,true
REG051,Students must complete their degree within the maximum duration of 8 years.,non_ambiguous,non_ambiguous,none,none,true
REG052,Degree completion deadlines may be extended in extraordinary circumstances with senate approval.,ambiguous,ambiguous,"may, extraordinary circumstances","context-dependent, permissive",true
REG053,Anti-ragging committee must investigate all reported incidents within 7 days.,non_ambiguous,non_ambiguous,none,none,true
REG054,Disciplinary action will be proportionate to the severity of the ragging offense.,ambiguous,ambiguous,"severity, proportionate",subjective,true
REG055,Students must submit project reports in PDF format with a maximum file size of 10 MB.,non_ambiguous,non_ambiguous,none,none,true
REG056,Project reports should be of adequate length and depth to demonstrate mastery of the subject.,ambiguous,ambiguous,"adequate, depth, mastery",subjective,true
REG057,Examination halls will accommodate a maximum of 30 students per room.,non_ambiguous,non_ambiguous,none,none,true
REG058,Seating arrangements may be modified based on the nature of the examination.,ambiguous,ambiguous,"may, based on","context-dependent, permissive",true
REG059,Students must wear their ID cards at all times within the campus.,non_ambiguous,non_ambiguous,none,none,true
REG060,Dress code violations may result in disciplinary action depending on the context.,ambiguous,ambiguous,"may, depending on","context-dependent, permissive",true
REG061,Course instructors must upload grades within 10 days of examination completion.,non_ambiguous,non_ambiguous,none,none,true
REG062,Grade submission deadlines may be extended if there are technical difficulties.,ambiguous,ambiguous,"may, technical difficulties","context-dependent, permissive",true
REG063,Students must complete a minimum of 6 months industrial training for the degree.,non_ambiguous,non_ambiguous,none,none,true
REG064,Industrial training of appropriate quality and relevance may substitute for elective courses.,ambiguous,ambiguous,"may, appropriate, quality","subjective, permissive",true
REG065,Examination re-totaling requests must be accompanied by a fee of Rs 500.,non_ambiguous,non_ambiguous,none,none,true
REG066,Re-totaling fees may be refunded if an error is discovered in the original totaling.,ambiguous,ambiguous,may,permissive,true
REG067,Students must complete ethics and values course in the first year.,non_ambiguous,non_ambiguous,none,none,true
REG068,Ethics course attendance may be waived for students with prior relevant training.,ambiguous,ambiguous,"may, waived",permissive,true
REG069,Thesis defense presentations must be at least 30 minutes in duration.,non_ambiguous,non_ambiguous,none,none,true
REG070,Thesis defense duration may be extended if the committee requires additional clarification.,ambiguous,ambiguous,may,permissive,true
REG071,Students must submit course feedback forms before accessing their semester results.,non_ambiguous,non_ambiguous,none,none,true
REG072,Feedback submission requirements may be relaxed in cases of technical system failures.,ambiguous,ambiguous,"may, system failures","context-dependent, permissive",true
REG073,Examination malpractice results in automatic failure of the course.,non_ambiguous,non_ambiguous,none,none,true
REG074,Malpractice penalties may be reduced if the student demonstrates genuine remorse.,ambiguous,ambiguous,"may, genuine, remorse","subjective, permissive",true
REG075,Students must register for a minimum of 18 credits per semester.,non_ambiguous,non_ambiguous,none,none,true
REG076,Credit load may be reduced for students facing health or personal challenges.,ambiguous,ambiguous,"may, health or personal challenges","context-dependent, permissive",true
REG077,Convocation attendance is mandatory for degree recipients.,non_ambiguous,non_ambiguous,none,none,true
REG078,Convocation attendance may be excused for students with valid reasons.,ambiguous,ambiguous,"may, valid, valid reasons","subjective, context-dependent, permissive",true
REG079,Students must clear all financial dues before receiving their degree certificate.,non_ambiguous,non_ambiguous,none,none,true
REG080,Degree issuance may be expedited in urgent cases with proper justification.,ambiguous,ambiguous,"may, proper, urgent cases","subjective, context-dependent, permissive",true
